industry,2017 임금 총액,2018 임금 총액,2019 임금 총액,2020 임금 총액,2021 임금 총액
전 산업,3207,3376,3490,3527,3689
광업,3713,3835,3977,4325,4415
제조업,3690,3930,4017,3990,4239
"전기, 가스, 증기 및 수도사업",6281,6436,6502,6733,6753
"하수, 폐기물처리, 원료재생 및 환경복원업",3089,3288,3506,3888,4094
건설업,2624,2784,2951,3032,3106
도매 및 소매업,3049,3214,3372,3423,3551
운수업,3156,3357,3476,3530,3795
숙박 및 음식점업,1626,1757,1875,1879,1905
"출판, 영상, 방송통신 및 정보서비스업",4122,4277,4463,4613,4796
금융 및 보험업,5706,6026,6236,6526,6963
부동산업 및 임대업,2446,2600,2755,2848,2954
"전문, 과학 및 기술 서비스업",4492,4757,4901,4871,5106
사업시설관리 및 사업지원 서비스업,2088,2203,2332,2411,2492
교육 서비스업,3316,3397,3474,3366,3355
보건업 및 사회복지 서비스업,2671,2799,2960,2942,3014
"예술, 스포츠 및 여가 관련 서비스업",2512,2684,2819,2873,2994
"협회 및 단체, 수리 및 기타 개인서비스업",2240,2401,2517,2563,2700
