산업,2017,2018,2019,2020,2021
광업 및 벌목업,69455.12,71654.24,74804.51999999999,73657.44,75523.04000000001
건설업,54181.52,56235.59999999999,57951.03999999999,59047.59999999999,61454.759999999995
제조업,52074.24,53086.399999999994,53911.16,55010.84,57587.799999999996
도매업,56043.52,57044.52,58589.28,59763.999999999985,63306.36000000001
소매업,26953.64,27889.280000000006,28900.160000000003,30759.119999999995,32365.92
운수업,44182.28,45355.92,45669.479999999996,46628.4,49069.35999999999
"전기, 가스, 증기 및 수도사업",79516.12,82105.96000000002,84662.64,89158.56,91534.68000000001
정보산업,66568.44,69300.8,73562.20000000001,76895.16,79063.95999999999
금융업,59704.31999999999,62742.4,64890.36,68377.24,72358.00000000001
"전문, 과학 및 기술 서비스업",54709.2,56426.200000000004,58460.31999999999,61318.12,64392.04
"예술, 스포츠 및 여가 관련 서비스업",19350.28,19982.36,20588.4,20892.960000000003,23136.76
기타 산업,36362.36,37439.35999999999,38530.479999999996,41212.439999999995,42866.19999999999
